식품명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),칼륨(mg),칼슘(mg),철(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg),포화지방산(g),콜레스테롤(mg)
삼겹살구이_고추장,403,38.2,14.21,32.83,12.63,5.73,510.0,371.0,14.0,0.96,27.0,0.91,0.0,13.1,35.52
삼치구이,178,66.2,21.42,9.57,1.45,0.22,217.0,220.0,18.0,1.9,171.0,0.0,5.7,2.02,79.38
새우구이,145,67.5,23.41,4.44,2.82,0.03,330.0,319.0,82.0,0.44,0.0,3.09,0.0,0.74,233.98
소불고기,170,67.9,16.41,9.66,4.26,3.24,418.0,309.0,19.0,2.3,18.0,4.35,0.0,3.26,50.02
스테이크_소등심,194,60.4,30.22,8.07,0.14,0.0,134.0,332.0,6.0,2.58,2.0,0.39,0.0,3.85,84.18
스테이크_소안심,183,58.9,34.82,4.83,0.13,0.0,103.0,385.0,5.0,2.49,10.0,0.0,0.0,0.22,80.25
오리고기구이,293,48.8,24.06,19.7,4.89,0.0,708.0,335.0,8.0,2.74,30.0,0.0,0.0,4.82,132.33
오리불고기,145,73.4,6.75,9.05,9.05,6.29,467.0,302.0,14.0,0.95,67.0,2.62,0.0,2.04,31.13
장어구이_고추장,259,55.0,19.82,17.21,6.18,0.44,322.0,262.0,165.0,0.72,686.0,1.68,2.4,4.68,131.89
조개구이_키조개,130,67.6,17.43,2.07,10.44,3.6,454.0,354.0,18.0,1.91,38.0,12.44,0.0,0.09,25.29
조기구이,177,65.3,19.33,10.86,0.44,0.0,1364.0,267.0,121.0,0.48,112.0,0.0,0.0,3.08,91.79
참치구이_머리,193,61.1,26.56,8.98,1.4,0.0,459.0,342.0,15.0,2.88,20.0,1.18,10.28,2.76,116.49
치킨데리야끼,208,58.0,16.54,9.01,15.21,0.11,267.0,233.0,16.0,0.53,16.0,21.46,0.0,2.59,53.29
함박스테이크,174,69.0,12.1,10.73,7.19,0.06,198.0,233.0,14.0,0.54,13.0,2.49,0.0,3.3,46.73
가지전,123,76.8,5.48,7.28,8.88,0.84,337.0,187.0,33.0,0.92,3.0,0.0,0.0,1.8,98.48
달걀찜_우유,105,80.4,8.23,6.31,3.8,2.55,262.0,139.0,92.0,1.44,170.0,0.29,0.0,2.5,169.58
닭찜,107,80.1,12.37,6.09,0.6,0.0,224.0,166.0,12.0,0.61,5.0,0.2,0.0,0.98,66.22
돼지갈비찜,194,64.9,13.29,12.32,7.44,0.13,478.0,332.0,30.0,0.96,45.0,0.96,0.0,3.68,50.07
사태찜_소고기,110,77.8,12.1,5.17,3.67,0.13,302.0,145.0,13.0,1.17,10.0,2.88,0.0,1.13,94.95
수육_소고기,166,63.8,28.43,4.94,2.04,0.11,31.0,134.0,6.0,3.38,13.0,0.0,0.0,1.89,88.3
순대,187,56.2,2.75,3.64,35.73,1.39,604.0,33.0,17.0,3.33,1.0,0.0,0.0,1.12,26.24
아귀찜,84,81.3,6.72,3.13,7.26,2.73,392.0,267.0,26.0,1.4,42.0,1.62,0.0,0.48,51.39
애호박찜,181,61.9,9.5,6.48,21.18,1.81,161.0,144.0,27.0,1.02,13.0,1.3,0.0,1.44,12.54
